,gamemode,battletime,p1.name,p2.name,p1.crowns,p2.crowns,p1.card_1,p1.card_2,p1.card_3,p1.card_4,p1.card_5,p1.card_6,p1.card_7,p1.card_8,p2.card_1,p2.card_2,p2.card_3,p2.card_4,p2.card_5,p2.card_6,p2.card_7,p2.card_8
22,Ladder,20200513T170128.000Z,lemonTree68,joeykashi,1,0,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,Tornado,Battle Healer,Earthquake,Goblin Cage,Electro Dragon,Baby Dragon,Elixir Golem,Mini P.E.K.K.A
23,Ladder,20200513T165444.000Z,lemonTree68,Schrieffer,1,0,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,Giant,Sparky,Elixir Collector,Rage,Wizard,Minion Horde,Dark Prince,Mini P.E.K.K.A
24,Ladder,20200513T164900.000Z,lemonTree68,Спартанец v.2.0,1,0,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Ice Golem,X-Bow,The Log,Bats,Firecracker,Hog Rider,Earthquake,The Log,Royal Delivery,Bomb Tower,Knight
5,Ladder,20200514T171250.000Z,Kevin⚡UwUr,masroufO2,1,0,The Log,Ice Spirit,Skeletons,Archers,Tesla,X-Bow,Fireball,Knight,Lava Hound,Mega Minion,Flying Machine,Baby Dragon,Miner,Tombstone,Barbarians,Arrows
6,Ladder,20200514T170510.000Z,Kevin⚡UwUr,J.Ö I TUR™,1,0,The Log,Ice Spirit,Skeletons,Archers,Tesla,X-Bow,Fireball,Knight,Valkyrie,Skeletons,Musketeer,Inferno Dragon,Goblin Cage,Poison,Graveyard,Giant Snowball
7,Ladder,20200514T161542.000Z,Kevin⚡UwUr,i will top one,1,0,The Log,Ice Spirit,Skeletons,Archers,Tesla,X-Bow,Fireball,Knight,Arrows,Miner,Tornado,Knight,Balloon,Inferno Tower,Barbarians,Executioner
12,Ladder,20200514T154322.000Z,Kevin⚡UwUr,Bryan⚡UwUr,0,0,The Log,Ice Spirit,Skeletons,Archers,Tesla,X-Bow,Fireball,Knight,Bomb Tower,Skeleton Barrel,Bats,Poison,Knight,Barbarian Barrel,Miner,Spear Goblins
13,Ladder,20200514T153223.000Z,Kevin⚡UwUr,ÝœųňƏß Ï NŒÔB✌,1,0,The Log,Ice Spirit,Skeletons,Archers,Tesla,X-Bow,Fireball,Knight,Sparky,Goblin Giant,Zap,Musketeer,Earthquake,Dark Prince,Bats,Mini P.E.K.K.A
14,Ladder,20200514T152158.000Z,Kevin⚡UwUr,destroyer-nl,1,0,The Log,Ice Spirit,Skeletons,Archers,Tesla,X-Bow,Fireball,Knight,P.E.K.K.A,Poison,Zap,Battle Ram,Bandit,Electro Wizard,Dark Prince,Magic Archer
15,Ladder,20200514T151806.000Z,Kevin⚡UwUr,Mala,1,0,The Log,Ice Spirit,Skeletons,Archers,Tesla,X-Bow,Fireball,Knight,Goblin Barrel,Ice Spirit,Goblin Gang,Knight,Inferno Tower,The Log,Rocket,Princess
16,Ladder,20200514T151308.000Z,Kevin⚡UwUr,King Of IRAN,1,0,The Log,Ice Spirit,Skeletons,Archers,Tesla,X-Bow,Fireball,Knight,Giant,Mini P.E.K.K.A,Arrows,Musketeer,Tornado,Graveyard,Zap,Bats
17,Ladder,20200514T150858.000Z,Kevin⚡UwUr,Frozen Luffy,1,3,The Log,Ice Spirit,Skeletons,Archers,Tesla,X-Bow,Fireball,Knight,Lava Hound,Barbarians,Inferno Dragon,Balloon,Freeze,Arrows,Minion Horde,Minions
18,Ladder,20200514T150546.000Z,Kevin⚡UwUr,Black Mamba,1,0,The Log,Ice Spirit,Skeletons,Archers,Tesla,X-Bow,Fireball,Knight,Barbarian Barrel,Electro Wizard,Bandit,Cannon Cart,Fireball,Battle Healer,Ram Rider,Magic Archer
19,Ladder,20200514T150012.000Z,Kevin⚡UwUr,Pl⚡T3kT0n1k⚡,0,1,The Log,Ice Spirit,Skeletons,Archers,Tesla,X-Bow,Fireball,Knight,Giant,Musketeer,Graveyard,Skeleton Army,Bats,Sparky,Royal Delivery,Arrows
20,Ladder,20200514T145648.000Z,Kevin⚡UwUr,Lim l ヌッシー,0,1,The Log,Ice Spirit,Skeletons,Archers,Tesla,X-Bow,Fireball,Knight,Musketeer,Arrows,Zap,Sparky,Hog Rider,Barbarians,Bats,Royal Giant
21,Ladder,20200514T145228.000Z,Kevin⚡UwUr,CHN丨Tiago♥️J,3,0,The Log,Ice Spirit,Skeletons,Archers,Tesla,X-Bow,Fireball,Knight,P.E.K.K.A,Battle Ram,Bandit,Royal Ghost,Magic Archer,Electro Wizard,Poison,Zap
22,Ladder,20200514T144906.000Z,Kevin⚡UwUr,Triple | Rookie,0,1,The Log,Ice Spirit,Skeletons,Archers,Tesla,X-Bow,Fireball,Knight,Skeletons,Royal Hogs,Firecracker,Bats,Skeleton Barrel,Goblin Cage,Earthquake,Royal Delivery
23,Ladder,20200514T144311.000Z,Kevin⚡UwUr,FH™,1,0,The Log,Ice Spirit,Skeletons,Archers,Tesla,X-Bow,Fireball,Knight,Miner,Mortar,Knight,Goblin Gang,Zap,Skeleton Barrel,Spear Goblins,Minion Horde
24,Ladder,20200514T140709.000Z,Kevin⚡UwUr,Grimoire⚡️,0,1,The Log,Ice Spirit,Skeletons,Archers,Tesla,X-Bow,Fireball,Knight,Giant,Minion Horde,Minions,Night Witch,Miner,Zap,The Log,Fireball
0,Ladder,20200514T232133.000Z,OBL,YD l Osiris,1,0,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Giant,Night Witch,Graveyard,Dark Prince,Goblin Cage,Musketeer,Arrows,Giant Snowball
1,Ladder,20200514T231742.000Z,OBL,⚡pedi⚡,1,0,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Lumberjack,Inferno Dragon,Mega Knight,Tornado,Night Witch,Clone,Electro Wizard,Zap
2,Ladder,20200514T231419.000Z,OBL,✨ㄊWEEDZㄡ✨,1,0,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Knight,Goblin Barrel,Skeleton Barrel,The Log,Princess,Dart Goblin,Skeletons,Bomb Tower
3,Ladder,20200514T230807.000Z,OBL,ELNINO,2,1,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Golem,Dark Prince,Night Witch,Electro Wizard,Tornado,Baby Dragon,Cannon Cart,Elixir Collector
4,Ladder,20200514T230341.000Z,OBL,Yorman I Army,1,0,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Goblin Barrel,Dart Goblin,Princess,Skeleton Barrel,Knight,The Log,Skeletons,Inferno Tower
5,Ladder,20200514T225928.000Z,OBL,iAmPain,0,1,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Arrows,Goblin Cage,Giant,Dark Prince,Graveyard,Night Witch,Giant Snowball,Musketeer
6,Ladder,20200514T225423.000Z,OBL,⚡️W灵⚡️,1,0,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Golem,Night Witch,Baby Dragon,Mega Minion,Lightning,Tornado,Lumberjack,Bomber
7,Ladder,20200514T225047.000Z,OBL,Sightless❤️Xbow,0,1,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Elixir Golem,Baby Dragon,Earthquake,Tornado,Barbarian Barrel,Goblin Hut,Electro Dragon,Battle Healer
8,Ladder,20200514T224606.000Z,OBL,QLASH Morales,0,1,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,P.E.K.K.A,Electro Wizard,Zap,Poison,Battle Ram,Royal Ghost,Bandit,Magic Archer
9,Ladder,20200514T224033.000Z,OBL,⭐️Bag⭐️,0,1,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Valkyrie,Hog Rider,Musketeer,Mortar,Skeletons,Bats,Giant Snowball,Earthquake
10,Ladder,20200514T223534.000Z,OBL,Thiяd Invasion™,1,2,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Minions,Balloon,Mega Minion,Lava Hound,Miner,Guards,Fireball,Zap
11,Ladder,20200514T223011.000Z,OBL,先生ChrisGamer2١٥,0,1,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Poison,Minion Horde,Royal Giant,The Log,Zap,Dart Goblin,Inferno Tower,Goblin Gang
12,Ladder,20200514T222649.000Z,OBL,JESTER€Ro(Ya)Ri,0,1,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Giant,Tornado,Zap,Fireball,Prince,Royal Ghost,Electro Dragon,Mega Minion
13,Ladder,20200514T222334.000Z,OBL,MCcricri,0,1,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Night Witch,Fireball,Baby Dragon,Mega Minion,Zap,The Log,Golem,Lumberjack
14,Ladder,20200514T221933.000Z,OBL,Major eBarbGod™,1,0,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Zap,Minions,Executioner,Freeze,Elite Barbarians,Mini P.E.K.K.A,Hog Rider,Ice Golem
15,Ladder,20200514T221446.000Z,OBL,✨ㄊWEEDZㄡ✨,3,0,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Knight,Goblin Barrel,Skeleton Barrel,The Log,Princess,Dart Goblin,Skeletons,Bomb Tower
16,Ladder,20200514T221209.000Z,OBL,JJ,0,1,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Miner,The Log,Bomb Tower,Spear Goblins,Bats,Poison,Knight,Wall Breakers
17,Ladder,20200514T203104.000Z,OBL,3R I SOADER,1,0,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Bats,Dark Prince,Electro Wizard,P.E.K.K.A,Magic Archer,Royal Hogs,Earthquake,Barbarian Barrel
18,Ladder,20200514T202545.000Z,OBL,컴온컴온쌔큇,3,0,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Poison,Graveyard,Baby Dragon,Tornado,Archers,Tesla,Knight,Barbarian Barrel
19,Ladder,20200514T202304.000Z,OBL,Ayoub,1,0,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Bomb Tower,Poison,Graveyard,Barbarian Barrel,Baby Dragon,Knight,Ice Wizard,Tornado
20,Ladder,20200514T201942.000Z,OBL,暁を信じろ I S91,1,3,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Giant,Sparky,Rage,Arrows,Minions,Minion Horde,Goblin Gang,The Log
21,Ladder,20200514T191544.000Z,OBL,Calligula,1,0,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Bowler,Mortar,Princess,Fireball,Goblin Barrel,Goblin Gang,Barbarians,Minion Horde
22,Ladder,20200514T191013.000Z,OBL,Wanamaker,0,1,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Giant,Mini P.E.K.K.A,Arrows,Minion Horde,Skeleton Army,Sparky,Zap,Bats
23,Ladder,20200514T190221.000Z,OBL,BYMATEO❤,1,0,Ice Golem,Skeletons,Tesla,The Log,Archers,Ice Spirit,X-Bow,Fireball,Ice Wizard,Inferno Dragon,Skeleton Army,Balloon,Royal Hogs,Arrows,Zap,Barbarians
0,Ladder,20200514T125607.000Z,Tokky,Yunus'Bey,1,0,Ice Golem,X-Bow,Skeletons,Tesla,Ice Spirit,Archers,Fireball,The Log,Lava Hound,Balloon,Mega Minion,Zap,Barbarians,Minions,Fireball,Tombstone
1,Ladder,20200514T125240.000Z,Tokky,⚡⭐BurningTree⭐⚡,1,0,Ice Golem,X-Bow,Skeletons,Tesla,Ice Spirit,Archers,Fireball,The Log,Archers,Ice Golem,Skeletons,Ice Spirit,Tesla,The Log,Fireball,X-Bow
2,Ladder,20200514T124903.000Z,Tokky,素敵なおじさん,0,1,Ice Golem,X-Bow,Skeletons,Tesla,Ice Spirit,Archers,Fireball,The Log,Balloon,Barbarian Barrel,Miner,Giant Snowball,Skeletons,Ice Golem,Musketeer,Bomb Tower
3,Ladder,20200514T124217.000Z,Tokky,Joker,1,0,Ice Golem,X-Bow,Skeletons,Tesla,Ice Spirit,Archers,Fireball,The Log,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Skeletons,Cannon,The Log
14,Ladder,20200514T093735.000Z,Tokky,まえだまえだ,1,0,Ice Golem,X-Bow,Skeletons,Tesla,Ice Spirit,Archers,Fireball,The Log,Royal Hogs,Royal Delivery,Earthquake,Mini P.E.K.K.A,Heal Spirit,Skeletons,Magic Archer,Hunter
24,Ladder,20200514T055213.000Z,Tokky,可哀想な天道花憐˙˚ ᕱ⑅ᕱ,1,0,Ice Golem,X-Bow,Skeletons,Tesla,Ice Spirit,Archers,Fireball,The Log,Goblins,Giant Snowball,Ice Golem,Barbarian Barrel,Miner,Bomb Tower,Musketeer,Balloon
1,Ladder,20200514T214559.000Z,LittleAsianBoy,Hander,1,0,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,P.E.K.K.A,Battle Ram,Bandit,Electro Wizard,Royal Ghost,Zap,Poison,Magic Archer
2,Ladder,20200514T214200.000Z,LittleAsianBoy,DeliRiuM™️,0,1,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,Goblin Barrel,Skeleton Barrel,Knight,Dart Goblin,Skeletons,Bomb Tower,Rocket,The Log
3,Ladder,20200514T211016.000Z,LittleAsianBoy,El Diffu.mayor,0,1,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,Giant,Mega Minion,Electro Wizard,Miner,Prince,Dark Prince,Zap,Fireball
4,Ladder,20200514T210450.000Z,LittleAsianBoy,Ice Spirit©®,0,1,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,Hog Rider,Giant Snowball,Arrows,Skeleton Army,Fireball,Inferno Tower,Goblin Barrel,Knight
5,Ladder,20200514T205624.000Z,LittleAsianBoy,Ell Sappele,1,0,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,Lava Hound,Miner,Balloon,Barbarians,Minion Horde,Minions,Arrows,Zap
6,Ladder,20200514T195156.000Z,LittleAsianBoy,Benji Unicorn⭐️,0,1,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,Night Witch,Giant,Dark Prince,Graveyard,Musketeer,Giant Snowball,Goblin Cage,Arrows
7,Ladder,20200514T194617.000Z,LittleAsianBoy,Cami10125,0,1,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,Graveyard,Poison,Baby Dragon,Mega Minion,Barbarian Hut,Electro Wizard,Barbarian Barrel,Knight
8,Ladder,20200514T192424.000Z,LittleAsianBoy,Co Pete,1,0,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,Hog Rider,Rocket,Miner,Freeze,Arrows,Barbarians,Minion Horde,Archers
10,Ladder,20200514T185244.000Z,LittleAsianBoy,Ghenerator,1,0,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,Hog Rider,Musketeer,Ice Golem,The Log,Cannon,Ice Spirit,Fireball,Skeletons
11,Ladder,20200514T184621.000Z,LittleAsianBoy,¤AP❎❎➖JeReMy➖❎❎,1,0,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,Ice Wizard,Wall Breakers,Tornado,Bomb Tower,Rocket,Goblins,Valkyrie,Miner
12,Ladder,20200514T173514.000Z,LittleAsianBoy,⚡Renato™⚡,0,1,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,Miner,Mega Minion,Poison,P.E.K.K.A,Bandit,Barbarian Barrel,Electro Wizard,Dark Prince
13,Ladder,20200514T172450.000Z,LittleAsianBoy,AquaStars,3,0,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,Mortar,Bats,Minion Horde,Fireball,Goblin Gang,Zap,Hog Rider,Spear Goblins
14,Ladder,20200514T164150.000Z,LittleAsianBoy,Lulu,1,0,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,Ice Golem,Hunter,Three Musketeers,The Log,Heal Spirit,Dark Prince,Royal Hogs,Earthquake
15,Ladder,20200514T163804.000Z,LittleAsianBoy,Summer,1,0,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,Giant,Graveyard,Arrows,Giant Snowball,Wizard,Mini P.E.K.K.A,Knight,Bats
16,Ladder,20200514T163358.000Z,LittleAsianBoy,Kélyan,1,0,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,P.E.K.K.A,Bandit,Royal Ghost,Zap,Magic Archer,Electro Wizard,Battle Ram,Poison
17,Ladder,20200514T162836.000Z,LittleAsianBoy,valew,1,0,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,Lava Hound,Bomb Tower,Balloon,Giant Snowball,Bats,Skeleton Army,Miner,Minion Horde
18,Ladder,20200514T162504.000Z,LittleAsianBoy,JorgeTuki,1,2,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,Giant,Bats,Skeleton Army,Giant Snowball,Graveyard,Musketeer,Mini P.E.K.K.A,Arrows
19,Ladder,20200514T161434.000Z,LittleAsianBoy,(S*・ﻌ・*T),0,3,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,Giant,Prince,Dark Prince,Night Witch,Miner,Mega Minion,Fireball,Zap
20,Ladder,20200514T161128.000Z,LittleAsianBoy,aka.Luiscort☄,0,1,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,Knight,Earthquake,Musketeer,Bomb Tower,Hog Rider,Skeletons,Giant Snowball,The Log
21,Ladder,20200514T160613.000Z,LittleAsianBoy,Star⭐️Yuki,0,3,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,Lava Hound,Miner,Inferno Dragon,Arrows,Balloon,Guards,Minions,Zap
22,Ladder,20200514T160354.000Z,LittleAsianBoy,ES | THOR,0,1,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,Golem,Baby Dragon,Lightning,Tornado,Ice Wizard,Barbarian Barrel,Goblin Cage,Night Witch
23,Ladder,20200514T154431.000Z,LittleAsianBoy,iAmJulsx,1,0,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,Barbarians,Royal Giant,Archers,Fireball,The Log,Mortar,Ice Spirit,Bats
24,Ladder,20200514T154059.000Z,LittleAsianBoy,Zapy,0,1,Knight,X-Bow,Tesla,The Log,Skeletons,Rocket,Ice Wizard,Tornado,Goblin Barrel,Rocket,Princess,Goblin Gang,Skeleton Army,Bandit,Inferno Tower,The Log
1,Ladder,20200514T214651.000Z,i am trash,Flo,1,0,X-Bow,Fireball,Tesla,Archers,The Log,Ice Spirit,Ice Golem,Skeletons,Mini P.E.K.K.A,Skeletons,The Log,Earthquake,Firecracker,Hog Rider,Ice Spirit,Bomb Tower
2,Ladder,20200514T214325.000Z,i am trash,Eason,0,1,X-Bow,Fireball,Tesla,Archers,The Log,Ice Spirit,Ice Golem,Skeletons,Mini P.E.K.K.A,Giant,Musketeer,Arrows,Giant Snowball,Skeleton Army,Bats,Graveyard
3,Ladder,20200514T213755.000Z,i am trash,SHO,1,0,X-Bow,Fireball,Tesla,Archers,The Log,Ice Spirit,Ice Golem,Skeletons,Ice Golem,Miner,Balloon,Giant Snowball,Skeletons,Bomb Tower,Musketeer,Barbarian Barrel
4,Ladder,20200514T213415.000Z,i am trash,Skorpion,0,3,X-Bow,Fireball,Tesla,Archers,The Log,Ice Spirit,Ice Golem,Skeletons,Giant,Graveyard,Arrows,Bats,Musketeer,Mini P.E.K.K.A,Giant Snowball,Skeleton Army
11,Ladder,20200514T202835.000Z,i am trash,Smurfblade,1,0,X-Bow,Fireball,Tesla,Archers,The Log,Ice Spirit,Knight,Skeletons,Zap,Firecracker,Bandit,Battle Ram,Dark Prince,Poison,Electro Wizard,P.E.K.K.A
12,Ladder,20200514T202303.000Z,i am trash,MY✨最柔,1,0,X-Bow,Fireball,Tesla,Archers,The Log,Ice Spirit,Knight,Skeletons,Electro Dragon,Balloon,Barbarians,Musketeer,Skeleton Army,Giant,Zap,Fireball
13,Ladder,20200514T201831.000Z,i am trash,T-DRAGON,1,0,X-Bow,Fireball,Tesla,Archers,The Log,Ice Spirit,Knight,Skeletons,Ice Golem,Bandit,Bomb Tower,Zap,Dark Prince,Royal Hogs,Magic Archer,Three Musketeers
14,Ladder,20200514T194537.000Z,i am trash,KeNiChI.saenz,1,0,X-Bow,Fireball,Tesla,Archers,The Log,Ice Spirit,Knight,Skeletons,P.E.K.K.A,Battle Ram,Electro Wizard,Zap,Royal Ghost,Bandit,Baby Dragon,Poison
15,Ladder,20200514T194054.000Z,i am trash,ElQueDonaHarto,0,1,X-Bow,Fireball,Tesla,Archers,The Log,Ice Spirit,Ice Golem,Skeletons,Arrows,Dark Prince,Giant,Giant Snowball,Goblin Cage,Graveyard,Musketeer,Night Witch
16,Ladder,20200514T193620.000Z,i am trash,ll Seth ll,1,0,X-Bow,Fireball,Tesla,Archers,The Log,Ice Spirit,Ice Golem,Skeletons,Giant Snowball,Magic Archer,Miner,Bats,Bomb Tower,Valkyrie,Skeletons,Wall Breakers
17,Ladder,20200514T193249.000Z,i am trash,シマ,0,1,X-Bow,Fireball,Tesla,Archers,The Log,Ice Spirit,Ice Golem,Skeletons,Goblin Cage,Royal Giant,Firecracker,Royal Delivery,Skeletons,Bats,Heal Spirit,Earthquake
18,Ladder,20200514T190205.000Z,i am trash,Sergiooo✊,1,0,X-Bow,Fireball,Tesla,Archers,The Log,Ice Spirit,Ice Golem,Skeletons,The Log,Tesla,Rocket,X-Bow,Skeletons,Knight,Tornado,Ice Wizard
