,0,1,2,3
27,ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again ,💁,😅,😂
28,Meh... Almost Lover is the exception... this track gets me depressed every time. ,😔,😢,💔
29,some1 hacked my account on aim  now i have to make a new one,🔫,😠,😡
30,@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though,😕,😞,😢
31,thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! ,😖,😣,😴
32,@julieebaby awe i love you too!!!! 1 am here  i miss you,❤,😢,😘
33,@HumpNinja I cry my asian eyes to sleep at night ,😪,😢,😭
34,ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now ,😴,✌,😷
35,@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...,😞,😉,🔫
36,@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge,✌,😉,😴
37,@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. ,😣,😕,😞
38,Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend ,✌,😴,💪
39,really don't feel like getting up today... but got to study to for tomorrows practical exam... ,😖,🔫,😣
40,He's the reason for the teardrops on my guitar the only one who has enough of me to break my heart ,🎵,💔,🎶
41,"Sad, sad, sad. I don't know why but I hate this feeling  I wanna sleep and I still can't!",😣,😞,😢
42,@JonathanRKnight Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it ,😔,💔,😢
43,Falling asleep. Just heard about that Tracy girl's body being found. How sad  My heart breaks for that family.,😞,😢,💔
44,@Viennah Yay! I'm happy for you with your job! But that also means less time for me and you... ,😄,😜,😉
45,"Just checked my user timeline on my blackberry, it looks like the twanking is still happening  Are ppl still having probs w/ BGs and UIDs?",😳,😐,😕
46,Oh man...was ironing @jeancjumbe's fave top to wear to a meeting. Burnt it ,😢,😕,😡
47,is strangely sad about LiLo and SamRo breaking up. ,😔,😢,💔
48,@tea oh! i'm so sorry  i didn't think about that before retweeting.,🙈,😬,😳
49,Broadband plan 'a massive broken promise' http://tinyurl.com/dcuc33 via www.diigo.com/~tautao Still waiting for broadband we are ,💔,😠,😡
50,"@localtweeps Wow, tons of replies from you, may have to unfollow so I can see my friends' tweets, you're scrolling the feed a lot. ",😄,👍,😉
51,our duck and chicken are taking wayyy too long to hatch ,😡,😑,😠
52,"Put vacation photos online a few yrs ago. PC crashed, and now I forget the name of the site. ",😑,😡,😠
53,I need a hug ,😢,😞,😔
54,"@andywana Not sure what they are, only that they are PoS! As much as I want to, I dont think can trade away company assets sorry andy! ",😬,😞,😕
55,@oanhLove I hate when that happens... ,😣,😡,😠
56,"I have a sad feeling that Dallas is not going to show up  I gotta say though, you'd think more shows would use music from the game. mmm",😞,😕,😔
57,Ugh....92 degrees tomorrow ,😖,🔫,😓
58,Where did u move to?  I thought u were already in sd. ?? Hmmm. Random u found me. Glad to hear yer doing well.,👏,😄,👍
59,"@BatManYNG I miss my ps3, it's out of commission  Wutcha playing? Have you copped 'Blood On The Sand'?",😞,😕,😢
60,just leaving the parking lot of work! ,😠,👍,😡
61,The Life is cool. But not for Me. ,💁,🙅,✌
62,"Sadly though, I've never gotten to experience the post coitus cigarette before, and now I never will. ",😞,😔,🙅
63,I had such a nice day. Too bad the rain comes in tomorrow at 5am ,😞,😑,😒
64,@Starrbby too bad I won't be around I lost my job and can't even pay my phone bill lmao aw shucks ,🙈,💁,☺
65,Damm back to school tomorrow ,😒,😪,🔫
66,"Mo jobs, no money.  how in the hell is min wage here 4 f'n clams an hour?",😤,😠,😡
67,@katortiz  Not forever... See you soon!,💔,😉,😘
68,"@Lt_Algonquin agreed, I saw the failwhale allllll day today. ",😊,😄,👍
69,@jdarter Oh! Haha... dude I dont really look at em unless someone says HEY I ADDED YOU. Sorry  I'm so terrible at that. I need a pop up!,🙊,🙈,😅
70,@ninjen I'm sure you're right...    I need to start working out with you and the Nikster... Or Jared at least!,👍,😉,💪
71,i really hate how people diss my bands!  Trace is clearly NOT ugly!,😤,😡,😠
72,"Gym attire today was: Puma singlet, Adidas shorts.......and black business socks and leather shoes  Lucky did not run into any cute girls.",😑,🙅,💪
73,Why won't you show my location?!   http://twitpic.com/2y2es,😤,😡,😠
74,No picnic  my phone smells like citrus.,😖,🙅,😷
75,"@ashleyac My donkey is sensitive about such comments. Nevertheless, he'd (and me'd) be glad to see your mug asap. Charger is still awol. ",😉,😠,😡
76,No new csi tonight.  FML,😭,😫,🔫
77,i think my arms are sore from tennis ,😖,😣,💪
78,wonders why someone that u like so much can make you so unhappy in a split seccond . depressed . ,💔,😔,😞
79,sleep soon... i just hate saying bye and see you tomorrow for the night. ,😢,😔,💔
80,"@statravelAU just got ur newsletter, those fares really are unbelievable, shame I already booked and paid for mine ",😕,😞,😡
81,missin' the boo ,💔,😞,😔
82,@markhardy1974 Me too  #itm,💓,💔,😢
83,Damn... I don't have any chalk! MY CHALKBOARD IS USELESS ,😤,😠,😡
84,"had a blast at the Getty Villa, but hates that she's had a sore throat all day. It's just getting worse too ",😣,😞,😷
85,@msdrama hey missed ya at the meeting  sup mama,😜,😘,😉
86,"My tummy hurts.  I wonder if the hypnosis has anything to do with it? If so, it's working, I get it, STOP SMOKING!!!",😖,😷,😣
87,why is it always the fat ones?! ,😫,😡,😠
88,"@januarycrimson Sorry, babe!!  My fam annoys me too. Thankfully, they're asleep right now. Muahaha. *evil laugh*",😉,😜,😈
89,@Hollywoodheat I should have paid more attention when we covered photoshop in my webpage design class in undergrad ,😬,😉,😅
90,wednesday my b-day! don't know what 2 do!! ,😣,😖,😫
91,Poor cameron (the hills) ,😔,😞,😢
92,"pray for me please, the ex is threatening to start sh** at my/our babies 1st Birthday party. what a jerk. and I still have a headache ",🙅,😡,😠
93,"@makeherfamous hmm  , do u really enjoy being with him ? if the problems are too constants u should think things more , find someone ulike",😄,😜,😉
94,Strider is a sick little puppy  http://apps.facebook.com/dogbook/profile/view/5248435,😡,😢,😷
95,"so rylee,grace...wana go steve's party or not?? SADLY SINCE ITS EASTER I WNT B ABLE 2 DO MUCH  BUT OHH WELL.....",😕,😢,😞
96,"hey, I actually won one of my bracket pools! Too bad it wasn't the one for money ",😅,😔,😕
97,"@stark YOU don't follow me, either  and i work for you!",😢,😔,😠
98,A bad nite for the favorite teams: Astros and Spartans lose.  The nite out with T.W. was good.,👏,👌,👍
99, Body Of Missing Northern Calif. Girl Found: Police have found the remains of a missing Northern California girl .. http://tr.im/imji,😕,💔,😢
100,"@mangaaa I hope they will increase the capacity fast, yesterday was such a pain. Got the fail whale +15 times in 2 hours.... ",😡,😞,😢
101,Behind on my classes for work ,😣,😓,🔫
102,watching &quot;House&quot; ,👌,☺,💓
103,@kpreyes Remember my bum leg? Strikes back this time its serious ,😂,👊,💪
104,"@paradisej cool, i will. their are all kinds of complaints about this laptop online about overheating, but no recalls ",😞,😠,😡
105,Emily will be glad when Mommy is done training at her new job. She misses her.  http://apps.facebook.com/dogbook/profile/view/6176014,❤,💔,😢
106,would rather the first party send bad messages than the 3rd party send mixed ones  Sophmore year all over again?,😅,😕,😐
107,@Henkuyinepu it's overrated ,😴,✋,💁
108,@marykatherine_q i know! I heard it this afternoon and wondered the same thing. Moscow is so behind the times ,🙈,😖,😣
109,laying in bed with no voice.. ,😔,😞,😷
110,I'm sooo sad!!! they killed off Kutner on House  whyyyyyyyy,😞,💔,😢
111,@jacobsummers Sorry  tell them mea culpa from me and that I really am sorry.,😢,😞,😔
112,"@Alliana07 it didn't make any sense to me, the suicide thing. I refuse to believe that that is actually what happened. ",😞,😢,😕
113,@salancaster  hope your ok.,💜,😔,😞
114,@mercedesashley Damn! The grind is inspirational and saddening at the same time.  Don't want you to stop cuz I like what u do! Much love,💖,💛,❤
115,@HibaNick yeah aw but i know i wudnt stand a chance ,😞,😔,😉
116,ugh. cant sleep. its 1:30am. ,😖,😣,🔫
117,Hanging in Crooners. Wanna sing. Can't. Sucks. ,😞,😣,😷
118,@eRRe_sC aaw i miss ya all too.. im leaving to BH tomorrow &quot;morning&quot; i think.. aww i wanna go to the beach w u girls!! ,😞,😔,😢
119,Is pissed off that there's no ASBA's for a radio station. ,😤,😠,😡
120,wednesday my b-day n don't know what 2 do!  ,😣,😖,😫
121,I know my life has been flipped upside down when I just thought in my head that some Ramen sounds good. ,😖,😳,😕
122,I am in pain. My back and sides hurt. Not to mention crying is made of fail. ,😣,😖,😢
123,"Late night snack, glass of OJ b/c I'm &quot;down with the sickness&quot;, then back to sleep...ugh I hate getting sick... ",😖,😣,😷
124,@allyheman but.. but.. but.. I'm not a big fan on camilla belle ,😕,😔,😢
125,"@grum WAH I can't see clip, must be el-stupido work filters. Can't wait 'till I get a 'puter. Something else 2 blame ex 4. He broke mine ",😕,😜,😉
126,This week just seems to get longer and longer in terms of how much I need to do.. and how much I'm actually going to get done ,🔫,😓,😅
127,I'm so cold ,😬,😣,😖
128,@thecoolestout Ehhh don't. Weather's gonna take a turn for the ugly tomorrow ,😏,💁,😈
129,@chelserlynn haha its so cooooold in the d! and no  but you should still go to the show. they do some incredible stuff,😄,👌,👍
130,Hoping the tummy rumbles go away soon ,🙏,😣,😷
131,"@Knights_ No, no notice. They told me I'd be working tomorrow, and then I called the agency to follow up and they said it was over. ",😞,😐,😑
132,almost bedtime ,😪,✌,😴
133,I'm missing you babe..  but as long as your alive I'm happy.. Yawwwnn.. I'm tired my love imma try to sleep hopefully you had a headstart,🎵,💓,💔
134,Agh...snow!!! ,😡,😣,😠
135,i miss kenny powers ,😢,😔,💔
136,"@BridgetsBeaches Thank you for letting people know, but now I'm sad that the direct message I got wasn't actually from Bridget ",😔,😞,😢
137,"...and, India missed out its 100th Test victory n 10th consecutive win without a loss. ",👏,👍,💪
138,@JonathanRKnight I guess that's a no then. ,😐,😔,😕
139,sadly is going to bed. ,😪,😞,😔
140,@ozesteph1992 Shame to hear this Stephan ,😕,😔,😞
141,@mrsaintnick hey! i'm leavin in the morning... ,😁,😜,✌
142,"Was intending to finish editing my 536-page novel manuscript tonight, but that will probably not happen. And only 12 pages are left ",😞,😕,😢
143,laid around too much today... now my head hurts ,😓,😖,😣
144,@twista202 I still haven't read the 9th&amp;10th Princess diaries  Saving Francesca made me cry at the end. Hmm those are easy books.,💔,😞,😢
145,my nokia 1110 died..  ,😞,💔,😢
146,My mom might have breast cancer won't find out anything for. Like a week I'm so worried! ,😓,😣,😖
147,Going to sleep. Hoping tomorrow is a better day. ,✌,😴,🙏
148,@rumblepurr lol.. wish they understood daylight savings has ended though and breakfast is an hour later  They keep waking the kids up too,😕,😡,😠
149,@onemoreproject that is lame ,😐,😒,😑
150,I don't understand... I really don't ,😒,😐,😕
151,HEROES just isn't doing it for me this season... ,💔,😔,😢
152,Living not downtown sure isn't much fun.  ,✌,😐,😕
153,@jonathanchard Not calorie wise   I wish junk food was calorie free! I ate a thing of sour skittles and a big ass cherry coke!,😖,😷,😋
154,Man Work is Hard ,😪,😣,😓
155,"getting sick  time for some hot tea, studying, and then sleeeep",😓,😴,😷
156,Getting eyebrows waxed. More pain ,😫,😣,😖
157,No phantasy star yesterday  going to work...,😞,😔,😢
158,Oh - Just got all my MacHeist 3.0 apps - sweet. Didn't get the Espresso serial no though although they said they sent it - oh well ,😬,😕,💁
159,Picked Mich St to win it all from the get go.  Was feeling pretty good about that pick all the way up until......tonight.  A's lost too ,😔,😡,😕
160,is alone downstairs...working ,😢,😓,😳
161,I feel bad for doing it ,😬,😔,😕
162,"@RyanSeacrest is it just me, or she hates anoop. i mean seriously, she's kinda mean to him. ",😉,😳,💁
163,@pinkserendipity yes sprint has 4g only in baltimore and chicago so far ,😐,😩,😑
164,I'm stuck awake in the middle of the night for the second day in a row. And I felt terrible yesterday. ,😖,😣,😷
165,Thanks for bursting my bubble ,😡,😒,😠
166,Going to school soon... can't find anything to wear!! gosh it's so hard ,😖,😣,😫
167,@marieclr I was serious  LOL,😑,😳,😐
168,@naughtyhaughty I had on my page for sooooo long!!! Until it got deleted  Sad day in history,😭,😪,😢
169,Crazy wind today = no birding  http://ff.im/1XTTi,😖,😳,🙅
170,currently at work.. ,😐,😑,🔫
171,Grrr.. my ipods acting weird too! Jai ho and thinking of you aren't playing the full songs.. ughh. ,😠,😖,😣
172,@penndbad send me the DVD cos I have missed out on heaps  NOT happy about that!,😢,😡,😠
173,i don't see the big deal with this website ,😑,😒,😕
174,@machineplay I'm so sorry you're having to go through this. Again.  #therapyfail,😔,😢,💔
175,@ColinDeMar Far too out of the way for rail.  any other tips?,😕,😜,😉
176,I'm not still up I swear. Why do I keep losing. gaining. losing. gaining. tweeps?  So heart wrenching.,😣,😢,💔
177,"Today I realized I am too good at hiding things, even I can't find it ",😕,😞,😔
178,"Staying at a friends house...house sitting, neighbors are SO loud-having a party ",😅,🔫,😑
179,@dannyvegasbaby danny im upset that i wasnt here to watch the live chat  i was in a car. for 3 hours on a trip im soooo upset!!,😠,😢,😡
180,Check out my mug  http://www.erika-obscura.blogspot.com,😜,😎,✌
181,Borders closed at 10 ,😡,😢,😑
182,Downloading NIN's new album &quot;the slip&quot; - when the hell did this come out? I'm so behind the times these days ,😣,😩,😬
183,Just woke up an already have written some e-mail... I've to go early at University today as I have to teach at 8:30 AM! ,😣,🔫,😴
184,is watching the hill . . .and its making me sad ,😞,😔,😢
185,So many channels.... yet so so boring... lazy day again  may have to find a hobby,😣,😪,😴
186,@supersport I miss my buddy  ill be in NY on the 25th,😔,💔,😢
187,@robluketic  love the french. I tell people here in the south i'm qtr. french and they snarl at me.  french are beautiful people,👍,💓,😉
188,Opps.. As I said.. I still got one day remain and now problem come ,😈,🙊,💯
189,"I activated my Selfcontrol block early, meaning I can't check out the new QC.  Regularizing my internal clock is might be difficult. #fb",😞,😕,😣
190,@HillyDoP  oH NO,😳,😢,🙈
191,spencer is not a good guy. ,😷,😳,🙅
192,"@goodlaura What about Reese dying on #TTSC? And season finale next week.  #24 boring, Madame President is a crazy woman.",😞,😕,😢
193,"@JonathanRKnight I hate the limited letters,too.Hope you and the guys are fine?I pray for my dog,she�s not well ",😔,😞,😢
194,didn't get shit done today ~ i'm so screwed ,😣,😖,🔫
195,wanttss to go out ,😑,😒,✌
196,Is not going to sleep tonite. ,😑,😣,😐
197,too worried and tired to post tonight ,😣,😓,😴
198,couldn't get shit done today ~ i'm so screwed ,😣,😖,🔫
199,"Job Interview in Cardiff today, wish me luck! Got about 3 hours sleep ",🙈,😬,😴
200,"@stustone Your show is whack. Way worse than whack, it's wiggety-whack.    :*(:*(:*(",❤,💛,💓
201,@DjAlizay I really don't think people choose to be that way. But I think he chose not to accept my family's help   He might be dead by now,😞,😕,😢
202,"@eloquentembrace You're going to kill me, but I've not seen DS9. I've been waiting till I can do it in one solid week sitting. ",😐,😕,😬
203,@cheechbud i think ur right!! hahaha!! 4.5 hrs now!! ,😉,😄,😜
204,i hate to see the spartans so sad ,😞,😢,😔
205,My mind and body are severely protesting this &quot;getting up&quot;  thing. Had nightmares to boot ,😓,😣,😖
206,"@MySteezRadio I'm goin' to follow u, since u didn't  LOL  GO ANGELS!",👍,😜,😉
207,@mandayyy ,😍,💛,❤
208,@twista202 I think I want to read some books but the library doesn't have them ,😞,😕,😢
209,My nap was interrupted so many times today  Going out for Japanese with the 'rents again...,😡,😑,😠
210,Kind of longs for the bus that shows up at the end of Ghost World right now. Ugh. ,😑,😖,😣
211,@GuruMN but this is canada  canada is weird. we're supposed to get snow through wednesday. ugh.,😐,😑,😕
212,Awwh babs... you look so sad underneith that shop entrance of &quot;Yesterday's Musik&quot;  O-: I like the look of the new transformer movie ,💛,😢,💓
213,sad that the 'feet' of my macbook just fell off ,💔,😔,😢
214,I'm gonna get up late tomorrow and it's 132am here. I gonna get tipsy by my lonesome. That's...that's just sad ,😕,😔,😞
215,"I'm sweating my forthcoming trip to E3.  If I can't find someone to crash with while I'm out there, I may be screwed.  ",😣,😅,😓
216,"Has now gotten somebody to read his tweets, but cant get them to make an account. ",😒,😐,😑
217,@infinitydefines  omgawd i couldnt handle my cat being in heat all the time D: D:,💔,😢,💓
218,@DonnieWahlberg I hope i can make it to the auburn show. but its not looking good for me ,😞,😔,😕
219,@David_Henrie *thats people mag haha i couldnt fit it all in.. i dont think those pictures ever made it in the magazine tho!  haha,😄,😜,🙈
220,@breadandbadger Congrats!!  i totally forgot to submit photos ,😬,🙈,😅
221,"@PaulaAbdul awww, Good luck Paula!! Please don't work too hard  but I hope you have fun  Your new album is gonna be amazing!  xxx",💜,❤,🙏
222,@imaginarypeach now your leaving me  .... -gets sad-,😞,💔,😢
223,"I miss you twitter. My phone broke, now I'm using a stupid Nokia phone. Ughhh, I miss my advance phone. ",😞,😢,💔
224,SHOOTING OUTSIDE MY HOUSE :O NOT KIDDING! So SCARED ,😬,😳,😖
225,Tuesday�ll start with reflection �n then a lecture in Stress reducing techniques. That sure might become very useful for us accompaniers ,😉,😄,👍
226,What tragedy and disaster in the news this week ,😔,😞,💔
227,yes yes still trying to find a picture that will upload correclty.. ,😡,😠,😑
228,Why oh why was the Red Sox game rained out? I was so looking forward to opening day ,😠,😔,😡
229,I still can't find my keys. ,😤,😠,😡
230,@charlietm I know right. I dunno what is going on with twitter. ,😣,😐,😕
231,might be getting a sore throat again ,😖,😣,😷
232,@labelsnotlove   my home town. My mammy called all depressd.  Pls explain y a parent let their 8yr old child walk alone? Hello? Its 2009!,😠,😡,😄
233,@ircmaxell - I think I need to find better anti-depressants.  I think this Paxil/Wellbutrin combo is losing its efficacy.  ,😢,😕,😖
234,@MyConnecticut Restaurant called WoodNTap has competitive eating tourney round tourney time. We place 2nd ,👊,💪,👍
235,is in the bathroom... wake up lakin. ,😖,😳,😷
236,@CaitlinOConnor i want tacos and margarhitas  telll gay i say hello&lt;3,💛,😋,💓
237,"im lonely  keep me company! 22 female, california",🎵,😔,🎶
238,bad day at the betfair office ,😔,😞,😢
239,I miss him.  Can't wait to celebrate the Tar Heel win this weekend though!!,💜,😁,💙
240,I'm really cold. I don't want to go to sleep yet but there's nothing to do ,😞,😕,😣
241,@kristencampisi is this it 4 u? Its ' officially over ' 4 me this go round! ,😳,😢,💔
242,monkeys??? i just found out you my twin and you wont even write back.  i'm heartbroken,😭,😢,💔
243,@miss_om Aww  I know I felt like that yesterday at work ,😞,😔,😢
244,@SarahReedSC treaty isn't defined ,😕,🙅,😉
245,missed Brent at praise band.   No fun to not have the your lead guitarist.  &lt;pout&gt;,✌,🎵,🎶
246,@jpfurry poor john  this is what happens when you play with fruit and a microwave! Seriously though HAVE you seen a doctor?? Xxx,😳,🙈,😷
247,Missing My BFF  watching home and away it reminds me of her and me  we &lt;3 It. shout out to u courts,💛,😢,💔
248,@mandayyy   ,😍,💛,❤
249,New video card is DOA. ,👌,👍,🙌
250,"feeling lost, naked and confused (JK, sort of).....no iphone for me. ",😖,😕,😞
251,"Damn i am so late at filling this appraisal form, people have almost sent it .. i was so occupied in work ",😕,😣,😓
252,missed Brent at praise band.  No fun to not have your lead guitarist. &lt;pout&gt;,✌,🎵,🎶
253,i think to much on the past. i cant change it. i deserved so much more then wat i got. ..but why am i still thinking about him  gah,😣,😞,😔
254,has lost his ring. It's no-where to be seen ,👀,😢,💔
255,"@burgaw Ooooooh! *sealclap* See, I download shitloads of zip folders off 4chan. I have no internet moneys.  FUCK YEAH ALICIA &amp; MIKEY.",😄,😜,👍
256,Is still nursing my Nile but glad he is feeling better. I hate when my baby is sick ,😞,😷,😢
257,Is fucked to go back to IC ,😫,😓,🔫
258,@Brandizzzle08 yoyoyo. my internet has been rude tonight. it JUST reconnected and I'm about to go to bed. ,😡,😠,😴
259,@jemcam well i have uni stuff and netball  but after netbal if i've done uni stuff we can,🙈,👍,💪
260,@kissability Me too I is poor ,😞,😔,😢
261,help me forget 8th april &amp; 13th july! ,🙌,😁,🙏
262,"dierks bentley is comin' to columbus, OH!! i wanna go so bad ",😭,😩,😫
263,i have to take my sidekick back. ,😔,😫,🔫
264,@chriscantore congrats! I'm totally jealous! only wish my XM was working ,😢,😔,😞
265,gr8t my face is very itchy ,😣,😖,😠
266,poor socks  luvvvvv the golden retriever!! I want one sighhhh,😫,😭,😢
267,I just saw that they found that Tracy girl in a piece of luggage... How fucking terrible ,😭,😖,😷
268,Aaaaand the nausea is back. ,😣,😖,😷
269,@DonnieWahlberg ooh I�m excited and not even going 2 be there  long love YOUTUBE!,😁,❤,😄
270,spent 1 hour to reach to Axis bank only to find out today is holiday for Mahavir Jayanti  contd..,😢,😠,😡
271,@mathewsmichael  i agree... the jobros dont update theres very often ,😡,😉,👍
272,@fishmouse it is hilarious and I linked the clip from LJ some time ago but when I went back just now it was a dead link ,😅,😂,💀
273,@DiannePulham OOOOOOOO who with? (im not neither but thats because i need to study  ),😉,👀,😅
274,"Haven't tweeted nearly all day  Posted my website tonight, hopefully that goes well  Night time!",🙏,😬,😴
275,@bostongarden I miss bentley ,😔,😢,💔
276,seriously needs to finish these job applications ,😅,🔫,😓
277,"My son Vincas is sick, so I stay at home  Just three tense days at work, and I am back on holiday with kids",😬,👍,😷
278,Whinging. My client&amp;boss don't understand English well. Rewrote some text unreadable. It's written by v. good writer&amp;reviewed correctly. ,😄,👏,👍
279,@huntermoore I don't want him to ever punch me.  ,😔,😢,👊
280,sooo sick of the snow  ughh,😤,😡,😠
281,@ITS_NEMESIS ------- ,❤,💛,💓
282,@LoveMeagan it doesn't work your fan is upset ,😞,😔,😢
283,I would like to apologize for the repeated Video Games Live related tweets. I am going to have a stern discussion with Koodo soon. Stern. ,😡,😐,😬
284,@zaydia but i cant figure out how to get there / back / pay for a hotel etc ,😫,😕,😢
285,"FML: So much for seniority, bc of technological ineptness, I now have to &quot;register&quot; for classes AGAIN ",😑,😡,🔫
286,feels like she slept the day away.    Not looking forward to any more bouts with my gallbladder.  At least I have pills now for the pain.,😷,😖,😣
287,@ThaStevieG but what I really want is my old bass back ,😞,💔,😢
288,Mad tired today... Callin it in early tonight  nighty night twittas,😘,✌,😴
289,"@LevenRambin: Take it easy, and be good to you. ",😉,👍,🎶
290,I'm afraid I had bad code. ,😣,😞,😔
291,Think I'm going to bed. Goodniight. I hate this ,😣,😞,😴
292,"@riancurtis  i'm here, friend, and i love you.",😘,💜,❤
293,@kariajay  All this time you didn't notice I was gone...just needed DB2 is it??,😕,😪,😢
294,@aaronrva is in the bathroom and i have to pee!    ,😳,😫,😖
295,@ashleyskyy but I wanted a margarita too! ,😫,😢,😔
296,@KourtneyKardash yup night workouts r the worst but unfortunetly my work schedule only allows me to go at night  its tough!,👊,😣,💪
297,Just called Hillsong again - they said they couldn't tell me where I was on the waiting list - I don't know if it's looking so good ,🎶,😳,😅
298,"has 0g of milky bar left, and around 200ml of coke ",😋,👌,😳
299,@jokerrrr It stillllll hasn't arrived ,😔,😞,😢
300,"Mraow, I feel like dancing, but first art school wants to rape me some more. ",😖,😣,😳
301,@karenucol ah! I bet it does I've been like craving to play softball or basketball !!! But I have noo time ,😔,😢,😫
302,Is terrified she accidentally deleted a reference in her management assignment and hopes she doesnt get in trouble when she gets back ,😬,😳,😅
303,amazon s3 plugin not worked in my website . it need PHP 5 . but my hosting provider has only PHP 4.4  . very sad.,😕,😞,😢
304,"Argh! I was suuuper sleepy an hour ago, now I'm wide awake.  Hope I don't stay up all night. :-/",😠,😖,😣
305,"@austinhill I wish I was!  Sold out   If you have some time let me know, I would love to hear more about what you are up to!",😔,😊,😢
306,Just watched tropic thunder. Dreading tomorrow ,😫,😣,😖
307,@qweendassah no...he's still miss'n... ,✋,😜,😉
308,ChiefDelphi is down ,😢,😔,😞
309,"http://twitpic.com/2y2wr - according to my bro, our new puppy had a poo fight and was covered in poop  (picture stolen from him)",😐,😳,😂
310,playing game at home! my new boss didn't call me yet... ,😤,😠,😡
311,Su yin Huen tweeted I feel unbearable guilt. I made my staff cry  http://tinyurl.com/cw2l9t,💔,😭,😢
312,Poor Joshy is sick???   those damn tejanos!,😞,😢,😷
313,My thoughts are with Sandra Cantu's family at this difficult and sad time ,😢,😔,💔
314,"@FranzGlaus I know, just wanted to let everybody know what was happening  ",💁,😂,💀
315,Michigan who?  I don't know them.                   *sigh*   Shameful!,😔,😞,😕
316,i have to fill two hours ,😩,😫,🔫
317,"@alicayaba so cuuute! hey, i miss you na!  its not the same not seeing you girls everyday ",😔,😢,💔
318,@JonathanRKnight Oh! Did I mention it? &quot;Gooooood Moooorniiiiiiing&quot;  from Germany! Im back in my cage....or better...my office ,😄,😜,😉
319,throat is closing up and i had some string cheese. not a good idea ,😣,😖,😷
320,"Aww, Sandra Cantu is found dead in a suitcase  Missing children stories never seem to go good. Poor family.",😞,💔,😢
321,wishing i was home underneath my covers ,😔,😞,😴
322,walking home from school drains all my energy ,😪,😓,😴
323,"@ridley1013 I agree. The shapeshifting is a copout. I was so excited for Angela's ep, I thought it was this week.  Noah was awesome tho!",😞,👍,😢
324,@SaveTheStrib Dang! I would have done this if I knew it was there earlier.  Any other outings planned?,😉,😕,😬
325,I wish I was better at writing. It's taking me so long to write this paper. ,😫,😞,😣
326,..and of course... I have access to my Halo 3 Mythic Map Pack re-download.. but bad news.. not the Legendary Map Pack... ugh.. 600MS... ,😠,😡,😢
327,"@vene2ia ...not yet unfortunately, another few weeks I've been told  How are you? I've been a little bit busy with my latest project.",😢,😞,😕
328,@thecoolestout Ha the sun's already gone ,🙈,😜,😂
329,day 2. a lot harder than day 1. let's see how day 3 goes tomorrow. ,😣,😓,💪
330,My man crush Jake Peavy let me down  #gayforpeavy,😢,😫,💔
331,"@trishzw megafast trip, you have time during day tom/weds? Or, you going out tonight? Want to see you bad. Tried to warn you, tech fail ",😄,😜,😉
