,company,raw
21,Coach,"To be the leading brand of quality lifestyle accessories offering classic, modern American styling."
22,Walmart,"Helps people around the world save money and live better â€” anytime and anywhere â€” in retail stores, online and through their mobile devices."
23,Target,"Our mission is to make Target your preferred shopping destination in all channels by delivering outstanding value, continuous innovation and exceptional guest experiences by consistently fulfilling our Expect More. Pay Less. Brand Promise."
24,AGCO,"Profitable growth through superior customer service, innovation, quality and commitment."
25,Albertsons,"Guided by relentless focus on our five imperatives, we will constantly strive to implement the critical initiatives required to achieve our vision. In doing this, we will deliver operational excellence in every corner of the Company and meet or exceed our commitments to the many constituencies we serve. All of our long-term strategies and short-term actions will be molded by a set of core values that are shared by each and every associate."
26,AutoNation,"To be Americaâ€™s best run, most profitable automotive retailer."
27,"Barnes & Nobles, Inc","Our mission is to operate the best specialty retail business in America, regardless of the product we sell. Because the product we sell is books, our aspirations must be consistent with the promise and the ideals of the volumes which line our shelves. To say that our mission exists independent of the product we sell is to demean the importance and the distinction of being booksellers. As booksellers we are determined to be the very best in our business, regardless of the size, pedigree or inclinations of our competitors. We will continue to bring our industry nuances of style and approaches to bookselling which are consistent with our evolving aspirations. Above all, we expect to be a credit to the communities we serve, a valuable resource to our customers, and a place where our dedicated booksellers can grow and prosper. Toward this end we will not only listen to our customers and booksellers but embrace the idea that the Company is at their service."
28,Cooper Tire & Rubber Company,"The purpose of the Cooper Tire & Rubber Company is to earn money for its shareholders and increase the value of their investment. We will do that through growing the company, controlling assets and properly structuring the balance sheet, thereby increasing EPS, cash flow, and return on invested capital."
29,Dollar General Corporation,Serving Others For Customers. A Better Life For Shareholders. A Superior Return For Employees Respect and Opportunity
30,Eaton Corporation,"We are committed to attracting, developing, and keeping a diverse workforce that reflects the nature of our global business."
31,Family Dollar Store,"A compelling place to shop. . . by providing convenience and low prices.,A compelling place to work. . . by providing exceptional opportunities and rewards for achievement.,A compelling place to invest. . . by providing outstanding returns."
32,Global Gilette,"We will provide branded products and services of superior quality and value that improve the lives of the worldâ€™s consumers. As a result, consumers will reward us with leadership sales, profit, and value creation, allowing our people, our shareholders, and the communities in which we live and work to prosper."
33,"Hughes Supply, Inc.","To supply outstanding service and solutions through dedication and excellence.,People love our clothes and trust our company. We will market the most appealing and widely worn casual clothing in the world. We will clothe the world."
34,American Eagle Outfitters,"American Eagle Outfitters is committed to the principle that the people who make our clothes should be treated with dignity and respect. To this end, we seek to work with apparel suppliers throughout the world who share our commitment to safe and healthy workplaces."
35,Gymboree,"Children are at the heart of everything we do. Childhood is filled with special moments every day and we design comfortable, quality clothes and accessories for memories in the making. Across all of our brands, we aim to make shopping and getting dressed easy and fun. Our clothes help children start each day with something special â€“ because we know a childâ€™s favorite outfit can make every day a great one."
36,The Limited,The customer rules!
37,Macyâ€™s,"Our goal is to be a retailer with the ability to see opportunity on the horizon and have a clear path for capitalizing on it. To do so, we are moving faster than ever before, employing more technology and concentrating our resources on those elements most important to our core customers."
38,Victoriaâ€™s Secret,Committed to building a family of the worldâ€™s best fashion brands offering captivating customer experiences that drive long-term loyalty and deliver sustained growth for our shareholders.
39,Zumiez,"Cutting edge clothing, footwear, accessories, DVDâ€™s, hard goods for skate and snow for active lifestyles."
40,Ruirui Industrial Ltd.,To become a respectable company in the world by offering high quality clothing and handbag.
41,Ferrari,"To make unique sports cars that represent the finest in Italian design and craftsmanship, both on the track and on the road."
42,Bain and Company,To help our clients create such high levels of economic value that together we set new standards of excellence in our respective industries.
43,Nike,"Bring inspiration and innovation to every athlete in the world.*,If you have a body, you are an athlete."
44,Toyota,To attract and attain customers with high-valued products and services and the most satisfying ownership experience in America.
45,Lâ€™OrÃ©al,"Offering all women and men worldwide the best of cosmetics innovation in terms of quality, efficacy and safety."
46,USAA,"To facilitate the financial security of its members, associates, and their families through provision of a full range of highly competitive financial products and services"
47,Audi,"Our success has been achieved through creativity, commitment and the ability to generate enthusiasm. The wishes and emotions of our customers are the guiding principles behind our every action."
48,Chanel,"To be the Ultimate House of Luxury, defining style and creating desire, now and forever."
49,Louis Vuitton,To represent the most refined qualities of Western â€œArt de Vivreâ€ (art of living) around the world
50,Mercedes-Benz,"Our main business objective is to be the best provider for technical accessories and collection. With innovative and high quality products, we ensure sustainable economic growth and a constant contribution to the groupâ€™s success.,We pursue this goal consistently by,â€” fulfilling our customersâ€™ needs for individualization, enhanced attractiveness and additional features for their vehicle with our comprehensive portfolio.,â€” transferring the brand values of Mercedes-Benz, smart and Mercedes-AMG and their premium claim on our complete product range.,â€” developing products which stand for quality and safety and furthermore set standards in terms of innovation and outstanding design.,â€” ensuring powerful and efficient processes.,â€” looking at our employees as key success factor and offering them an attractive working environment.,â€” being a reliable and long-term oriented partner for our customers, suppliers, employees and colleagues.,Besides integrity, sustainability and mutual appreciation, our mission statement is the basis for all our business activities. It underscores our shared philosophy and is measure for dealing with each other â€“ with the worldwide employees, business partners and customers. Furthermore it lays the foundation for a sustainable and successful business development."
51,Swarovski,Swarovski adds sparkle to everyday life with high-quality products and services that exceed our customersâ€™ desires.
52,Tifanny & Co.,"At Tiffany & Co., we believe it is our moral duty to sustain the natural environment. As a result, we are committed to not only minimizing our impacts as a business but also using our voice and actions to positively affect communities and protect the planet."
53,Budweiser,Be the best beer company in a better world.
54,Honda,"Maintaining a global viewpoint, we are dedicated to supplying products of the highest quality, yet at a reasonable price for worldwide customer satisfaction."
55,Verizon,Enable people and businesses to communicate with each other.
56,Wal-mart,Save people money so they can live better.
57,General Electric,"Invent the next industrial era, to build, move, power and cure the world."
58,McDonalds,"At McDonaldâ€™s, we strive to be more than just a restaurant â€“ weâ€™re a first job for many, a community partner, a model for other restaurants around the world, and a company seeking new ways to fulfil our brand promise of Quality, Service, Cleanliness, and Value."
59,Ford Motor Company,One Team
60,Adidas,We strive to be the global leader in the sporting goods industry with brands built on a passion for sports and a sporting lifestyle.
61,BMW,The worldâ€™s leading provider of premium products and premium services for individual mobility.
62,Uber,"Uber is evolving the way the world moves. By seamlessly connecting riders to drivers through our apps, we make cities more accessible, opening up more possibilities for riders and more business for drivers."
63,BBC,"To enrich peopleâ€™s lives with programmes and services that inform, educate and entertain."
64,Telsa,Our goal when we created Tesla a decade ago was the same as it is today: to accelerate the advent of sustainable transport by bringing compelling mass market electric cars to market as soon as possible.
65,Forbes,"To deliver information on the people, ideas and technologies changing the world to our community of affluent business decision makers."
66,Kickstarter,To help bring creative projects to life.
67,Walt Disney,"To be one of the worldâ€™s leading producers and providers of entertainment and information, using its portfolio of brands to differentiate its content, services and consumer products.,ProsperForms â€” set up a form and start receiving submissions from your colleagues in minutes. 100+ forms available: reports, logs, requests, etc. or build your own. View and manage submissions on Timeline and Dashboard screens, generate PDF reports. Get Started"
68,Sony,To be a company that inspires and fulfills your curiosity.
69,Asana,To help humanity thrive by enabling all teams to work together effortlessly.
70,Discovery Media,"To satisfy curiosity and make a difference in peopleâ€™s lives by providing the highest quality content, services and products that entertain, engage and enlighten."
71,The New York Times,"To enhance society by creating, collecting and distributing high-quality news and information."
72,Microsoft,To enable people and businesses throughout the world to realize their full potential.
73,Cisco,"Shape the future of the Internet by creating unprecedented value and opportunity for our customers, employees, investors, and ecosystem partners."
74,Google,To organize the worldâ€™s information and make it universally accessible and useful.
75,Redhat,"To be the catalyst in communities of customers, contributors, and partners creating better technology the open source way."
76,Intel,"Utilize the power of Mooreâ€™s Law to bring smart, connected devices to every person on earth."
77,Intuit,"To improve its customersâ€™ financial lives so profoundly, they couldnâ€™t imagine going back to the old way."
78,Adobe,To move the web forward and give web designers and developers the best tools and services in the world.
79,Philips,Improving peopleâ€™s lives through meaningful innovation.
80,Apple,"Apple designs Macs, the best personal computers in the world, along with OS X, iLife, iWork and professional software. Apple leads the digital music revolution with its iPods and iTunes online store. Apple has reinvented the mobile phone with its revolutionary iPhone and App Store, and is defining the future of mobile media and computing devices with iPad."
81,Netflix,"Becoming the best global entertainment distribution service.,Licensing entertainment content around the world.,Creating markets that are accessible to film makers.,Helping content creators around the world to find a global audience."
82,Dropbox,The mission of Dropbox is to simplify life for people around the world.
83,Yahoo,Yahoo is a guide focused on making usersâ€™ digital habits inspiring and entertaining.
84,Tesla Motors,To accelerate the worldâ€™s transition to sustainable transport.
85,Reddit,Reddit is the worldâ€™s largest & best platform for online communities to share & connect.
86,AirBnb,"For so long, people thought Airbnb was about renting houses. But really, weâ€™re about home. You see, a house is just a space, but a home is where you belong. And what makes this global community so special is that for the very first time, you can belong anywhere. That is the idea at the core of our company: belonging."
87,Betterment,"We have one mission: To empower you to make the most of your money, so you can live better."
88,Casper,"Great sleep, made simple."
89,Chipotle,"Over 23 years later, our devotion to seeking out the very best ingredients we canâ€“raised with respect for animals, farmers, and the environmentâ€“remains at the core of our commitment to Food With Integrity. And as weâ€™ve grown, our mission has expanded to ensuring that better food is accessible to everyone."
90,Headspace,Headspacehas one mission: to improve the health and happiness of the world.
91,HubSpot,"To make the world Inbound. We want to transform how organizations attract, engage and delight their customers."
92,Lyft,Our mission is to reconnect people through transportation and bring communities together.
93,Tuft & Needle,"We believe in quality craftsmanship without the gimmicks. We work with the best to get the best. And then we sell the best, for exactly the price it should cost. Itâ€™s the very simple system at the heart of everything we make.,We support American manufacturing. All of our mattresses are designed and crafted in the U.S.A."
94,Trader Joe,"The mission of Trader Joeâ€˜s is to give our customers the best food and beverage values that they can find anywhere and to provide them with the information required to make informed buying decisions.,We provide these with a dedication to the highest quality of customer satisfaction delivered with a sense of warmth, friendliness, fun, individual pride, and company spirit."
95,The Virgin,"Our mission statement is simple, yet the foundation of everything we do here at Virgin Atlantic Airwaysâ€¦ to embrace the human spirit and let it fly."
96,Hewlett-Packard Co.,"At HP, our mission is to deliver seamless, secure, context-aware experiences for a connected world."
97,EMC Corp.,EMCâ€™s mission is to lead businesses and service providers to transform information technology (â€œITâ€œ) operations to an â€œas a serviceâ€ model (â€œITaaSâ€œ).
98,AU Optronics Corp.,Be A Global Leader in Green Solutions.
99,NCR Corp.,Provide our customers with the next generation of productivity gains and customer experience innovation through our deep knowledge of the changing global consumer and technology.
100,Diebold Inc.,"We deliver innovative technology and services that make businesses better through a powerful combination of customer knowledge, inspired thinking and attentive associates."
101,Systemax Inc.,In an ever-changing world Systemax continually evolves to meet and exceed market demands
102,Imation Corp.,"Imation will: Utilize customer insights to build a world-class portfolio of quality digital storage products, audio and video electronics, and accessories. Extend our category leadership in key markets through our powerful global distribution network. Focus our resources on profitable growth areas. Increase the value of our brands and demonstrate return on marketing investments. Maintain an uncompromising commitment to strong execution. Lead with the highest ethical standards, demonstrating good citizenship in all we do."
103,Core Systems,Core Systemsâ€™ purpose is to provide the industrial computing marketplace with best in class ultra rugged and light industrial PCI based solutions. We over engineer each product to dominate its respective market and perform flawlessly in the field.
104,"Shin Chuan Computer Co.,",Our mission is to provide a suggestion and work out the final solution to satisfy our clients.
105,tootoo.com Limited,"We are committed to the business principle of incorporating quality assurance functions into our daily activities in the distribution, movement, sale, assembly and rebuilding of Fuser Assembly, formatter boards, printing heads and other spare parts."
106,"Capsa Solutions, LLC","Capsa Solutions develops and manufactures Mobile Workstations, Medication Carts and Processing Systems that elevate our Healthcare customersâ€™ performance by working to understand their challenges and offering high quality, integrated solutions."
107,"UAF CO., LIMITED","Our mission is to provide cost-effective products with reliable quality, quick lead-time and good after-sale service to our customers. With commitment to price and quality, our skilled engineers are engaged in advancing down cost solution and the technicians make full inspection on all our products before shipment."
108,Apple Inc.,"Founded in 1977, Apple is a technology company that is recognized worldwide for its innovative work in Mac personal computers"
109,Concurrent Computer Corporation,Concurrent Computer Corporation is a technology company that provides software and hardware for companies in the media industry.
110,Cray Inc.,Cray Inc. is a technology company founded in 1972 and specializes in manufacturing super fast processors for their markets in the USA and parts of Europe.
111,"Omnicell, Inc.","Omnicell, Inc. is a technology company founded in 1992 and specializes in manufacturing automated devices that help medical staff globally manage and deliver their medications and supplies effectively."
112,Silicon Graphics International Corp.,"Founded in the early 1980s, Silicon Graphics International Corp is a technology company specializing in the manufacture of high performance supercomputers and sytems that are used by governments, banks, movie makers and various other industries globally."
113,"Super Micro Computer, Inc.","Super Micro Computer, Inc. is a technology company founded in 1993, specializes in providing high performance green IT solutions in the USA, Netherlands, Taiwan, China and Japan."
114,XRS Corporation,XRS Corporation was founded in 1985 and is a technology company specializing in creating technologies that make it easy to effectively manage the North American trucking business.
115,Taiwan Semiconductor Manufacturing Co.,Our mission is to be the trusted technology and capacity provider of the global logic IC industry for years to come.
116,Analog Devices Inc.,To be the worldâ€™s best signal processing company.
117,Advanced Semiconductor Engineering Inc.,"We offer the best design manufacturing services for IC packaging, IC substrates, IC testing and systems. ASE will act as an extension of our customersâ€™ own operations in achieving the maximum business objectives with minimum resources."
118,STMicroelectronics N.V.,To offer strategic independence to our partners worldwide as a profitable and viable broad-range semiconductor supplier.
119,Advanced Micro Devices Inc.,"Becoming the leading designer and integrator of innovative, tailored technology solutions that empower people to push the boundaries of what is possible."
120,Advantest Corp.,Technology Support on the Leading Edge.
121,International Rectifier Corp.,Help our customers save energy.
122,Semiconductor Manufacturing International Corp.,"Strengthen SMICâ€™s global competitiveness,Develop Chinaâ€™s semiconductor industry,Accept and overcome challenges,Establish a legacy of environmental and social responsibility."
123,"Actions Semiconductor Co., Ltd.",Our mission is to relentlessly strive to provide IC Solutions to meet the ever changing demands of Smart Entertainment.
124,Alpha and Omega Semiconductor Limited,"Our mission is to bring value to our customers, shareholders and employees."
125,Altera Corporation,"Alteraâ€™s corporate mission is to be the preferred fabless supplier of FPGAs, SoCs with embedded processor systems, CPLDs, ASICs and PowerSoCs in combination with software tools, intellectual property, embedded processors and customer support, in order to provide high-value programmable solutions."
126,"Amkor Technology, Inc.",The mission of Amkor Technology is to be the trusted global provider of reliable assembly and test manufacturing services and innovative solutions to semiconductor and microelectronics companies using advanced technology developed through close collaboration with our customers and other supply chain partners.
127,"Applied Materials, Inc.","Our mission is to invest in companies that provide a window on technologies that will push the semiconductor, display, solar PV, and related industries beyond the cutting edge."
128,AXT Inc.,"To identify and develop growth opportunities that will utltimately result in exceeding customerâ€™s expectations, market share enhancement, sustainable profitability, and provide shareholder value."
129,Broadcom Corporation,To be the worldâ€™s leading communications semiconductor company.
130,Cabot Microelectronics Corporation,"Cabot Microelectronicsâ€™ mission is to create value by developing reliable and innovative solutions, through close customer collaboration, that solve todayâ€™s challenges and help enable tomorrowâ€™s technology."
131,CBD Energy Limited,To provide all energy consumers with a solution of consuming power thatâ€™s generated from renewables energy sources.
132,"China Sunergy Co., Ltd.","We are committed to comply with international safety, environment and quality standards at all times."
133,"Cirrus Logic, Inc.","MISSION Cirrus Logic provides innovative, high-performance analog and digital signal processing components that â€œrockâ€ (advance our customers, benefit our shareholders and reward our employees) To exceed our customersâ€™ expectations Deliver solid value to our shareholders Build confidence and pride in our company"
134,"Cree, Inc.",The mission of Creeâ€™s Customer Service function is to always convey a passion for the customer and to consistently deliver the best service experience.
135,Finisar Corporation,Our mission to develop innovative network solutions.
136,"First Solar, Inc.","With our wide range of technologies and services, we maximize value and minimize risk for our customers and partners. By integrating technologies and expertise across the solar value chain, we deliver more reliable, dependable, and cost-effective solutions for our customers."
137,"FormFactor, Inc.","FormFactor views a successful business as not just achieving financial results, but also being a good corporate citizen. We hold ourselves accountable for our ethical, social and environmental impact around the world."
138,"GSI Technology, Inc.","At GSI Technology, we focus on providing the best value combination of power, speed, density, quality, reliability and delivery in the world."
139,ZMDI,Our mission is to create semiconductor solutions that enable our customers to develop energy-efficient products thus reducing the need for fuel and therefore reducing harmful emissions.
140,Universal Enterprise,"Our mission is to be the best value-added die distributor in the world. Committing our focus on customer needs and demands, representing our suppliers with honesty and integrity."
141,Taiwan Semiconductor Manufacturing Company,Our mission is to be the trusted technology and capacity provider of the global logic IC industry for years to come.
142,"Triad Semiconductor, Inc.","Our mission is to enable the success of our customers through highly differentiated IC solutions that reduces cost, noise, sizem weight and power and increase IP protection, performance, manufacturability and reliability."
143,"Tosoh SMD, Inc.","Be the preferred global supplier of high technology, consumable materials for thin film deposition while achieving our strategic and financial goals. We will earn recognition and respect for excellence in providing:,Our customers with a quality offering of outstanding value, exemplifying technological and commercial excellence, characterized by innovative products that meet and exceed expectations, using high quality supply chain management systems, are delivered on time, and are supported by courteous friendly, satisfying service plus an ongoing commitment to continuous improvement"
144,"Titan Semiconductor Tool, LLC",Our mission is to provide Semiconductor Manufacturing Companies in the Southwest United States with state-of-the-art mechanical tools for back-end Assembly and Test while providing a quality alternative to OEM suppliers.
145,TCG Incorporated,"It is the mission of TCG, Inc. to provide the most consistently effective product knowledge and applications assistance to our customers and future customers, while maintaining a strong working relationship with our principles and culturing a growth oriented, profitable business environment for all."
146,SLC â€“ Semiconductors Logistics Corp.,Our mission statement is to provide our customers with high quality products and exceptional levels of service.
147,"Xiamen Powerway Advanced Material Co., Ltd.",A Cost & Performance compound semiconductor leader for production in wafer mass production for wafer fabrication and semiconductor device application.
148,Ovivo,Provide our customers with the best end to end solutions to treat and recycle water at the lowest energy cost.
149,Murray Company,"Murray Company is committed to being the most respected, sought after mechanical contractor and engineers, providing value added services while creating successful partnerships with each of our clients."
150,LORD Corporation,"Our Mission is to transform innovative ideas into long-term value for our customers, employees and shareholders."
151,Global Semiconductor Alliance,"GSAâ€™s mission is to accelerate the growth and increase the return on invested capital of the global semiconductor industry by fostering a more effective ecosystem through collaboration, integration and innovation."
152,Cypress Semiconductor Corporation,We will transform Cypress from a traditional broad-line semiconductor company to the leading supplier of programmable solutions in systems everywhere.
153,Central Semiconductor Corp.,Centralâ€™s Missionâ€¦ complete customer satisfaction.
154,Lansdale Semiconductor Inc.,Our mission is to manufacture â€œimportantâ€ integrated circuits forever.
155,Harrington Industrial Plastics LLC,To be your first choice for high purity and corrosive solutions.
156,"Groth Engineering, Inc.","We are committed to be a world-class, precision machine shop. We will do this by providing our customers with product that is exceptional in quality, while maintaining a flexible delivery schedule tailored to their needs. We will value our relationships with our customers and our employees and will continue to adapt and be responsive to their changing needs with honesty and integrity."
157,"FM Indutries, Inc.","The mission of FM Industries is to provide our customers with manufacturing solutions and services that are consistently high in quality, on time and at prices that are competitive. To accomplish this mission FMIâ€™s management and employees will:,Customers: Exceed our customerâ€™s expectations. We will emphasize responsiveness and quality of service in all dealings with the customer.,Employees: Invest in the human resources of FMI to accomplish our objectives and enhance career opportunities for our employees.,Shareholders: Generate sufficient earnings to sustain the growth objectives of FMI and achieve equitable returns for our shareholders.,Community: Act as a good corporate citizen by respecting the environment and supporting activities that contribute to our local community.,No one gets up earlier, works harder, or is more dedicated than the solutions team of FM Industries."
158,"GeneSiC Semiconductor, Inc.","Our mission is to deliver the best customer driven designs possible, with leading performance and quality while maintaining a highly competitive price."
159,"Fab-Finder, Inc.",To create value for our customers by identifying and securing manufacturing equipment lines that are match to both their production and technology requirements. We strive to increase our customers â€œhit-rateâ€ of useable tools through our complete understanding of the buyers requirements and the sellers capabilities.
160,"Eptam Plastics, Ltd.",Our Mission is to become the best solution oriented plastic fabricator by exceeding our customerâ€™s expectations at every level.
161,EDAX Inc.,"EDAX is dedicated to advancing the understanding of materials for the benefit of science and society worldwide. EDAX endeavors to be the world leader in elemental and structural micro analysis solutions with a focus on EDS, EBSD, WDS, and micro-EDXRF techniques. Our goals are to exceed the expectations of our customers, employees, and stockholders."
162,ECO PHYSICS Inc.,We offer Innovative solutions to new customer requirements for production automation and IT and the analys of the environment and health. We develop new products and services for our basic markets and on request of our customers. We are only satisfied when you are too. We cooperate with the worldâ€™s recognized best partners wherenever requested.
163,CISC Semiconductor GmbH,"CISC Semiconductor strives to offer its employees a surrounding that combines both, excellent quality of life and prospects to grow within an innovative company operating on an international scale. An optimum environment will stimulate the employeesâ€™ creativity and passion and generate maximum technical output. Thanks to CISCâ€™s ability to fully exploit the herewith generated potentials, its flexibility and pro-active way of adapting to new developments, the company will thrive in the long term in a dynamic and constantly growing microelectronic market. Perfectly tailored products and services to our customersâ€™ needs, the exceeding of customer expectations and long-term relationships with our clients are reflecting one of our core values: customer-orientation."
164,CFD Research Corporation,"Our mission is to enable rapid screening of concepts and optimization of downselected designs (simulation-based design) and processes, thereby accelerating your product development."
165,Cabot Microelectronics Corporation,"Cabot Microelectronicsâ€™ mission is to create value by developing reliable and innovative solutions, through close customer collaboration, that solve todayâ€™s challenges and help enable tomorrowâ€™s technology."
166,Retronix Semiconductor,"Retronix Semiconductor is a fast growing semiconductor equipment support provider. Our mission is to provide engineering services and staffing solutions to our customers, working diligently to exceed their expectations."
167,4Source Electronics AG,A warm welcome to our customers. 4Source sees itself as a link between the free market and industry. We want to become and be the preferred supplier and partner for end customers and distributors in our major business field. Customerâ€™s satisfaction with our services and their enthusiasm are the decisive factors on what kind of market position we can achieve. We make a broad commitment to service quality and make it the focus of our company culture and values.
168,SunEdison Semiconductor,"At SunEdison Semiconductor our mission is to provide the highest value products and services to our customers in the semiconductor and solar industries through exceptional quality, technology and service."
169,Cohu Semiconductor Equipment Group.,Our mission statement guides us in the pursuit of ongoing success: â€œTo be the leading supplier delivering innovative assembly and test solutions to semiconductor and system-level manufacturer.â€
170,"IND, LLC","To be the market leader and preferred partner through dedication to superior service, innovation and engineered solutions."
171,"Hitachi High Technologies America, Inc.",The Semiconductor Equipment Division Service group Mission is to offer superior Quality Service Support from installation to extended life.
172,"SY Silicon Technology Co., Ltd.","Our mission statement is: manufacture quality products, provide quality service, and fulfill companyâ€™s stable and continuous development."
173,Allwin21 Corp.,"Our mission is to help our customers to achieve better performance, unique, high value results using proven Allwin21â€™s own technical know how. Weâ€™re dedicated to finding unique solutions that enable new processes, increase yield, improve uptime, reduce maintenance costs, and extend the life cycle of their capital equipment."
174,"America Semiconductor, LLC","Our mission was to build a business that would grow through building relationships. To ensure this, America Semiconductor only sells through distribution."
175,America Movil S.A.B. de C.V.,"We are committed to the establishment of procedures to ensure the promotion, development and maintenance of the highest standards of honesty, integrity and ethical conduct of the addressees in the performance of their daily duties and responsibilities."
176,Crown Castle International Corp.,"To deliver the highest level of service to our customers at all times â€“ striving to be their critical partner as we assist them in growing efficient, ubiquitous wireless networks."
177,Philippine Long Distance Telephone Co.,"PLDT will be the preferred full service provider of voice, video and data at the most attractive levels of price, service quality, content and coverage, thereby bringing maximum benefit to the Companyâ€™s stakeholders."
178,SK Telecom Co. Ltd.,"SK Telecom creates new value across industrial boundaries by practicing innovation on a daily basis, using its strong business infrastructure and human resources to make a happier and richer world."
179,Telephone & Data Systems Inc.,"At TDS, our mission is to provide outstanding communications services to our customers and meet the needs of our shareholders, our people and our communities."
180,Indosat,"To provide and develop innovative and high quality products, services and solutions which offer the best value to our customers. To continuously enhance shareholders value. To provide a better quality of life for our stakeholders."
181,China TechFaith Wireless Communication Technology Limited,To be the leading ODP (Original Developed Product) mobile handset provider in the global market.To be the Specialist in the differentiated branded mobile phone market segment. To be the leading motion game publisher in China.
182,"CommScope Holding Company, Inc.","As much as technology changes, our goal remains the same: to help our customers create, innovate, design, and build faster and better."
183,Ericsson,"We lead transformation through mobility. The potential of the Networked Society lies in transformation through mobility. Transformation in the way people organize their individual lives and carry out vital tasks. Transformation in the way we work, the way we share information, and the way we do business. Transformation in the way we consume and the way we create."
